,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Total,35.5,36.3,36.7,37.8,38,38.9,37.3,38.8,39.6,41.3,41.2,42,41
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Total males,32.6,33.6,33.7,34.3,34.7,35.3,34.1,35.5,37,38.4,38.3,39.1,37.6
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"White, non-Hispanic males",36.2,37.2,38.9,38.5,38.4,39.4,37.9,39.6,41.7,42.3,40.6,42.4,38.3
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Black, non-Hispanic males",25.1,26.7,26.3,28.2,26.5,28.2,28.1,32.2,29.7,33.2,35.2,34,33.9
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Hispanic males,18.5,17.4,16.2,18.3,21.7,20.7,20,20.7,23,24.2,27.9,31,33.5
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Asian, non-Hispanic males",59,63.7,59.9,62.2,63.5,63.1,58.4,57.7,55.3,65.2,61.3,59.9,59.3
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Pacific Islander, non-Hispanic males",,,,51.5,51.3,41.7,55.4,37,,31.4,40.4,33.1,63.3
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"American Indian/Alaska Native, non-Hispanic males",12.8,21.9,20.1,20.3,20.5,25.7,18.1,11.8,18.7,38.7,45.5,22.6,28.1
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Two or more races, non-Hispanic males",,,,39.7,39.9,36.9,38.6,36.5,42.9,37.5,41.2,32.3,35.4
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Total females,38.4,39,39.7,41.3,41.2,42.5,40.6,42.1,42.3,44.2,44.1,44.9,44.5
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"White, non-Hispanic females",41.3,41.9,42.8,44.5,45,46.1,44.1,45.7,46.9,47.7,46.1,47.1,46
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Black, non-Hispanic females",35.2,35.5,36.9,36,36.6,37.6,36.9,34,34.2,41.9,41.4,39.9,38.7
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Hispanic females,25.4,26.1,24.4,29.4,28.2,29.5,27.6,33,28.9,31,36.1,39.4,41.7
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Asian, non-Hispanic females",52.8,58.9,61.9,60.4,57.7,58.8,58.3,56.8,63,65.2,65.8,60.3,60.4
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Pacific Islander, non-Hispanic females",,,,34.5,57.6,65.8,25.8,37.3,32.1,35.6,28.5,42.7,40.3
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"American Indian/Alaska Native, non-Hispanic females",20.5,24.1,26.9,15.6,28.1,29.5,35.9,34.5,24.3,20.8,36.6,24.4,27.6
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Two or more races, non-Hispanic females",,,,43.3,33.4,46.7,38.5,41.6,48.7,41,35.8,46,43.6
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
